Model,URL,Price,Ratings
"OnePlus One (Silk White, 16 GB)",https://www.flipkart.com/oneplus-one-silk-white-16-gb/p/itmevt8fkdg8hd6d?pid=MOBE87BTMHYBXHBJ&lid=LSTMOBE87BTMHYBXHBJNG0PMV&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=a34259e8-7e2c-4246-8a82-269fef905308.MOBE87BTMHYBXHBJ.SEARCH&ppt=hp&ppn=homepage&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹18,998","3,665 Ratings "
Kechaoda K-55 Plus,https://www.flipkart.com/kechaoda-k-55-plus/p/itmexfmc5trhjjxh?pid=MOBEXFMCC2G5HTFG&lid=LSTMOBEXFMCC2G5HTFGAZBTVY&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=SEARCH&iid=a34259e8-7e2c-4246-8a82-269fef905308.MOBEXFMCC2G5HTFG.SEARCH&ppt=hp&ppn=homepage&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹1,500","10,407 Ratings "
Kechaoda K66 Plus,https://www.flipkart.com/kechaoda-k66-plus/p/itmffy7kgtuzyync?pid=MOBEWGJXCWRDUF5W&lid=LSTMOBEWGJXCWRDUF5WDAULA5&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=SEARCH&iid=a34259e8-7e2c-4246-8a82-269fef905308.MOBEWGJXCWRDUF5W.SEARCH&ppt=hp&ppn=homepage&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,₹999,"22,660 Ratings "
Kechaoda K-55 Plus,https://www.flipkart.com/kechaoda-k-55-plus/p/itmexfmc5trhjjxh?pid=MOBFA2U5KQ4UEVGG&lid=LSTMOBFA2U5KQ4UEVGGZGDYDJ&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=SEARCH&iid=a34259e8-7e2c-4246-8a82-269fef905308.MOBFA2U5KQ4UEVGG.SEARCH&ppt=hp&ppn=homepage&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,₹998,"10,407 Ratings "
Kechaoda K66 Plus,https://www.flipkart.com/kechaoda-k66-plus/p/itmeyuzdv2p2p8fb?pid=MOBF3NGZVHHYAWYB&lid=LSTMOBF3NGZVHHYAWYBUP6QC7&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=SEARCH&iid=a34259e8-7e2c-4246-8a82-269fef905308.MOBF3NGZVHHYAWYB.SEARCH&ppt=hp&ppn=homepage&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹1,050","22,660 Ratings "
Kechaoda K-55 Plus,https://www.flipkart.com/kechaoda-k-55-plus/p/itmexfmc5trhjjxh?pid=MOBEXFMCNJM75EKW&lid=LSTMOBEXFMCNJM75EKWS7U2SD&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=SEARCH&iid=a34259e8-7e2c-4246-8a82-269fef905308.MOBEXFMCNJM75EKW.SEARCH&ppt=hp&ppn=homepage&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹1,060","10,407 Ratings "
Kechaoda K66 Plus,https://www.flipkart.com/kechaoda-k66-plus/p/itmeyuzdv2p2p8fb?pid=MOBFW34AEGWXGYXR&lid=LSTMOBFW34AEGWXGYXRQT1MMI&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=SEARCH&iid=a34259e8-7e2c-4246-8a82-269fef905308.MOBFW34AEGWXGYXR.SEARCH&ppt=hp&ppn=homepage&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹1,099","22,660 Ratings "
KARBONN K24 Plus,https://www.flipkart.com/karbonn-k24-plus/p/itmegyrkzwsb8ky8?pid=MOBEGYRKHF6DUC4W&lid=LSTMOBEGYRKHF6DUC4WBFBOZQ&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=SEARCH&iid=a34259e8-7e2c-4246-8a82-269fef905308.MOBEGYRKHF6DUC4W.SEARCH&ppt=hp&ppn=homepage&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹1,099",260 Ratings 
KARBONN k24+,https://www.flipkart.com/karbonn-k24/p/itmevhgww3zugme4?pid=MOBFJC3CZEJPSKEY&lid=LSTMOBFJC3CZEJPSKEYXAG0G3&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=SEARCH&iid=a34259e8-7e2c-4246-8a82-269fef905308.MOBFJC3CZEJPSKEY.SEARCH&ppt=hp&ppn=homepage&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹1,143",720 Ratings 
GFive U220+,https://www.flipkart.com/gfive-u220/p/itmerzgbmzemvmgh?pid=MOBERZGBNT4YYXY6&lid=LSTMOBERZGBNT4YYXY6PYGMY1&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=SEARCH&iid=a34259e8-7e2c-4246-8a82-269fef905308.MOBERZGBNT4YYXY6.SEARCH&ppt=hp&ppn=homepage&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,₹699,"4,444 Ratings "
Kechaoda K116 Plus,https://www.flipkart.com/kechaoda-k116-plus/p/itmexrd9thyhs7pg?pid=MOBEXRD9WKAHDEZW&lid=LSTMOBEXRD9WKAHDEZWKJAPCV&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=SEARCH&iid=a34259e8-7e2c-4246-8a82-269fef905308.MOBEXRD9WKAHDEZW.SEARCH&ppt=hp&ppn=homepage&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹1,040","8,817 Ratings "
"Nokia C20 Plus Smartphone (Ocean Blue, 32 GB)",https://www.flipkart.com/nokia-c20-plus-smartphone-ocean-blue-32-gb/p/itmdd59cd914edb5?pid=MOBG5ME6ZBKSNUUR&lid=LSTMOBG5ME6ZBKSNUUR6QR9C0&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=SEARCH&iid=a34259e8-7e2c-4246-8a82-269fef905308.MOBG5ME6ZBKSNUUR.SEARCH&ppt=hp&ppn=homepage&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹7,998",100 Ratings 
KARBONN K24 Plus Pro,https://www.flipkart.com/karbonn-k24-plus-pro/p/itmff8a97nh9q3ac?pid=MOBFF8Y7ZF7Z7YEF&lid=LSTMOBFF8Y7ZF7Z7YEFBEGNSI&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=SEARCH&iid=a34259e8-7e2c-4246-8a82-269fef905308.MOBFF8Y7ZF7Z7YEF.SEARCH&ppt=hp&ppn=homepage&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹1,049","2,043 Ratings "
